transaction_id,customer_email,amount,date,product_category
434544,zofia.kamiński870@example.com,217.85,30/01/2025,electronics
420091,piotrlewandowski741@mail.com,157.93,2025.10.18,fashion
135385,ola.piotrowska54@example.com,211.01,Mar 29 2025,home
515198,mareknowak642@mail.com,41.91,Jul 28 2023,electronics
219409,michał.nowak982@example.com,579.82,2025-04-10,home
872187,maria.wojciechowski363@example.com,719.72,Apr 16 2024,fashion
413563,olalewandowski996@mail.com,715.95,21/01/2025,electronics
154995,annawoźniak633@mail.com,125.89,Jul 09 2023,electronics
715508,kacpernowak586@mail.com,419.18,2024-12-07,electronics
489334,julia.lewandowski764@example.com,99.22,2023-04-09,electronics
159611,adam.zielińska220@example.com,131.01,Jul 02 2025,sports
240846,magdalena.piotrowska114@example.com,510.6,11/05/2023,fashion
473226,paweł.wróbel44@example.com,188.58,25/09/2023,fashion
848777,piotr.szymański286@example.com,299.51,2023.10.30,home
995107,jakub.woźniak294@example.com,491.93,2024.12.10,electronics
450374,monikadąbrowska537@mail.com,471.0,Jun 30 2024,sports
194016,magdalena.kaczmarek691@example.com,230.49,05/10/2024,home
103426,marek.wróbel462@example.com,298.58,08/07/2025,sports
853525,ola.piotrowska54@example.com,166.49,Mar 19 2025,home
454255,agnieszkakamiński189@mail.com,351.82,19/04/2024,fashion
295785,kacperwróbel553@mail.com,638.64,2025.11.18,fashion
262453,karolina.mazur761@example.com,590.93,31/07/2025,electronics
933545,adam.lewandowski897@example.com,769.46,2023.09.11,home
266816,kacperwróbel553@mail.com,24.26,2025.01.03,beauty
570202,paweł.wróbel44@example.com,784.97,2025.10.11,sports
977194,bartekkowalski302@mail.com,449.68,04/04/2023,fashion
526745,marekpiotrowska42@mail.com,30.36,Aug 08 2025,beauty
308876,marek.kowalska679@example.com,749.26,Jul 01 2025,fashion
233739,barteknowak832@mail.com,255.11,Oct 16 2024,fashion
253240,bartek.kowalska6@example.com,665.6,2023-03-24,fashion
789762,jakubwiśniewska421@mail.com,109.65,14/06/2025,fashion
128166,agnieszkanowak394@mail.com,363.74,Jul 23 2025,home
464244,karolinakowalska621@mail.com,266.17,Oct 08 2025,beauty
983014,monikakamiński141@mail.com,65.89,2023-08-11,fashion
958287,kacpernowak586@mail.com,712.29,Apr 03 2023,sports
419137,tomaszzielińska386@mail.com,144.03,19/06/2024,home
489354,monikadąbrowska537@mail.com,291.14,Apr 03 2025,electronics
311834,adam.lewandowski897@example.com,518.99,2024.03.18,home
405057,monikamazur474@mail.com,763.97,2025.10.30,beauty
637299,monika.szymański51@example.com,556.87,29/05/2024,sports
388882,marek.piotrowski693@example.com,466.73,2024-04-10,beauty
136515,monika.szymański51@example.com,317.98,2024.09.15,sports
700198,karolina.woźniak184@example.com,435.91,10/09/2024,beauty
219113,kacperkaczmarek827@mail.com,754.99,Oct 05 2025,beauty
851747,adam.kamiński845@example.com,599.72,Aug 09 2025,sports
464896,tomasz.zieliński812@example.com,786.59,Sep 24 2023,electronics
292471,annawoźniak633@mail.com,598.6,07/04/2023,electronics
643182,anna.zielińska996@example.com,707.41,15/08/2025,beauty
688457,monika.kowalski161@example.com,788.51,01/09/2023,fashion
181111,mateuszszymański157@mail.com,790.27,2023.12.11,home
194811,julia.mazur778@example.com,796.43,25/06/2023,sports
725282,adam.zielińska900@example.com,249.52,Mar 09 2023,sports
940884,annadąbrowska480@mail.com,130.8,14/03/2024,home
341586,mateusz.woźniak661@example.com,114.93,Apr 19 2023,fashion
793689,karolina.woźniak184@example.com,22.39,20/11/2023,home
281719,karolina.woźniak184@example.com,265.01,2024.06.15,fashion
210731,bartekwojciechowski986@mail.com,547.48,24/04/2023,fashion
632050,agnieszkamazur784@mail.com,493.24,2023-05-12,beauty
689696,barteknowak832@mail.com,180.71,23/03/2024,beauty
361576,karolinawiśniewska962@mail.com,510.46,Aug 28 2025,home
724687,mateusz.woźniak661@example.com,107.82,2024.12.01,beauty
113939,olawróbel184@mail.com,423.93,04/12/2023,sports
383156,mateusz.woźniak661@example.com,597.01,2024-01-31,home
581576,monikadąbrowska537@mail.com,314.68,2025.05.26,home
666555,annawojciechowski203@mail.com,655.03,Jun 28 2025,electronics
218001,annawojciechowski203@mail.com,753.73,2023.08.12,beauty
822282,olawróbel184@mail.com,74.04,2024.06.18,electronics
782214,ola.wojciechowski235@example.com,560.85,Sep 18 2025,beauty
443843,katarzynalewandowski468@mail.com,771.2,Feb 13 2024,fashion
703524,annadąbrowska480@mail.com,268.67,2024-09-06,sports
933904,adam.zielińska900@example.com,63.43,2025-05-29,beauty
516824,agnieszkakamiński771@mail.com,170.3,2024-06-06,electronics
326231,annawojciechowski203@mail.com,218.42,Mar 15 2023,home
660923,michał.nowak67@example.com,167.8,2024.12.19,beauty
428053,jakubwiśniewska421@mail.com,566.15,27/11/2024,sports
917372,karolina.woźniak184@example.com,329.58,2025-05-01,sports
325982,magdalena.kaczmarek691@example.com,379.0,2024-11-10,electronics
530350,kacper.dąbrowska868@example.com,241.97,2024.05.24,electronics
808466,monikamazur474@mail.com,404.02,2023.10.01,home
490099,katarzynapiotrowska844@mail.com,426.65,2023-05-02,beauty
970916,monikakamiński141@mail.com,576.28,2024-04-14,fashion
542741,tomasz.zieliński812@example.com,305.23,2023-07-01,electronics
328611,ola.piotrowska54@example.com,700.05,2025.11.06,electronics
181856,magdalena.piotrowski454@example.com,196.43,2025.11.25,home
436814,monikazieliński599@mail.com,783.41,2024-03-03,sports
878086,agnieszkanowak394@mail.com,298.41,2024-10-26,beauty
136221,kacpernowak586@mail.com,732.79,Aug 26 2025,electronics
128311,marek.mazur685@example.com,272.83,27/12/2023,home
655472,mateusz.piotrowski275@example.com,586.71,05/12/2023,beauty
681388,mateuszszymański157@mail.com,620.28,Jan 25 2024,electronics
407548,marek.piotrowski693@example.com,329.7,2023-12-18,electronics
507534,jakubwiśniewska421@mail.com,221.3,2025.07.21,home
550990,pawełgrabowska644@mail.com,670.25,Mar 10 2023,sports
621640,kacperwróbel553@mail.com,714.56,2025-08-09,home
178532,ola.kowalska590@example.com,37.37,2024-10-29,fashion
629921,adam.zielińska900@example.com,747.83,2025.11.13,home
411047,mateuszwoźniak449@mail.com,261.28,2024.03.27,sports
533247,paweł.wróbel44@example.com,781.18,14/08/2025,electronics
607613,monikadąbrowska537@mail.com,367.68,Jun 05 2025,sports
810098,bartekkowalski302@mail.com,360.63,12/03/2023,home
593478,agnieszkakamiński771@mail.com,594.43,Jul 10 2025,fashion
918371,julia.mazur778@example.com,46.37,2025.08.11,fashion
524056,bartekkowalski302@mail.com,71.8,2025.10.16,sports
480063,marek.mazur685@example.com,277.94,2023-11-09,sports
294048,annawoźniak633@mail.com,654.74,2025.10.19,home
678343,tomasz.piotrowska21@example.com,722.04,2023.04.18,sports
431982,paweł.wróbel44@example.com,101.71,2024-10-06,home
410326,marekkamiński347@mail.com,117.52,31/10/2025,fashion
271080,ola.kowalska590@example.com,656.79,2025-10-11,beauty
958908,kacpermazur78@mail.com,496.88,2023.12.01,beauty
526195,adam.lewandowski897@example.com,644.85,2024-09-19,sports
671577,marekkamiński347@mail.com,468.17,2024-12-22,home
139286,marekkamiński347@mail.com,791.98,02/06/2025,beauty
473869,olawróbel184@mail.com,130.2,13/08/2024,sports
922155,mateuszmazur329@mail.com,673.94,2024-10-11,fashion
799189,monikamazur474@mail.com,71.6,2024-09-14,fashion
150368,karolinanowak565@mail.com,608.07,2024.12.17,beauty
789647,jakub.woźniak294@example.com,726.33,2024-09-14,electronics
650065,marek.wróbel462@example.com,109.35,28/03/2024,sports
418258,pawełgrabowska644@mail.com,283.32,2023-07-06,electronics
442328,paweł.wróbel44@example.com,554.09,Apr 22 2025,electronics
667149,bartek.wiśniewska33@example.com,80.58,2023.03.15,home
102439,bartekwiśniewska372@mail.com,115.27,2025-11-09,electronics
409719,katarzynapiotrowska844@mail.com,490.98,2023-03-04,beauty
198195,bartekkowalski302@mail.com,166.7,2024.07.05,fashion
171795,katarzynakowalski484@mail.com,630.32,Jun 22 2025,beauty
532629,tomaszzielińska386@mail.com,145.65,2024.06.26,home
